name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Chicago,2024-01-01T00:00:00,0.8,-5.1,-2.9,76.79,0,0,,0,0,39.3,26.1,339,1021.1,100,16,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T01:00:00,0.8,-4.6,-3,76.14,0,0,,0,0,37.1,22.3,348,1021.7,100,16,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T02:00:00,0.8,-4.6,-3,76.14,0,0,,0,0,38.9,22.7,348,1022.5,100,13.6,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T03:00:00,0.4,-4.5,-2.5,80.46,0,0,,0,0,33.5,18.4,339,1023.1,100,12.7,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T04:00:00,0.2,-5.4,-3.1,78.5,0,0,,0,0,29.5,23,341,1023.6,100,14.7,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T05:00:00,0.2,-5.1,-3.8,74.39,0,0,,0,0,35.3,21.2,341,1024.2,100,16,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T06:00:00,-0.2,-5.1,-4.7,72.05,0,0,,0,0,24.1,17.3,334,1025,100,16,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T07:00:00,-0.4,-5.4,-5,71.09,0,0,,0,0,24.1,17.9,348,1025.9,100,16,0,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T08:00:00,-0.3,-5.3,-5,70.5,0,0,,0,0,24.1,17.9,341,1026.3,100,16,12,0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T09:00:00,-0.2,-5,-5.1,69.78,0,0,,0,0,24.1,16.6,350,1026.8,100,16,64,0.2,1,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T10:00:00,0.3,-4,-5.1,66.96,0,0,,0,0,22.3,15.4,312,1027.3,100,16,65,0.2,1,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T11:00:00,0.5,-3.7,-4.9,67.48,0,0,,0,0,24.1,14.4,305,1027.4,100,16,67,0.2,1,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T12:00:00,0.5,-3.8,-5.3,64.8,0,0,,0,0,20.5,15.1,303,1027.1,100,14.9,53,0.2,1,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T13:00:00,0.2,-3.6,-5.7,64.5,0,0,,0,0,20.5,12.1,302,1026.8,100,16,54,0.2,1,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-01-01T14:00:00,0.2,-4.4,-5.7,64.5,0,0,,0,0,20.5,16.5,283,1026.5,100,16,39,0.1,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
